InstrumentID,Date,Location,Gender,Time,Res1,Res2,Status,Officer
100199,12/31/14,STORY COUNTY SHERIFF'S OFFICE,M,11:20 PM,0.013,0.013,,"CIZMADIA, JOSH J"
100199,12/30/14,STORY COUNTY SHERIFF'S OFFICE,M,11:57 PM,Refused,,,"BOECKMAN, ANDREW J"
100199,12/29/14,STORY COUNTY SHERIFF'S OFFICE,M,5:42 PM,Refused,,,"SINK, BRETT R"
100203,12/28/14,ISU - POLICE DIVISION,M,3:43 AM,0.037,0.037,,"MEENAGH, RYAN J"
100203,12/28/14,ISU - POLICE DIVISION,M,3:33 AM,0.105,0.104,,"VARNER, KEITH D"
149606,12/28/14,AMES POLICE DEPARTMENT,F,2:50 AM,0.161,0.161,,"BRINKLEY, JEFF A"
149606,12/27/14,AMES PD,M,3:33 AM,0.166,0.166,,"GEIL, DARREN"
100203,12/27/14,ISU - POLICE DIVISION,M,1:26 AM,0.017,0.016,,"VARNER, KEITH D"
149606,12/21/14,AMES POLICE DEPARTMENT,M,5:18 AM,0.155,0.155,,"BARNEY, JOHN E"
100199,12/21/14,STORY COUNTY SHERIFF'S OFFICE,M,1:15 AM,0,0,,"CIZMADIA, JOSH J"
100203,12/20/14,ISU - POLICE DIVISION,F,3:52 AM,0.114,0.113,,"VARNER, KEITH D"
149606,12/19/14,AMES POLICE DEPARTMENT,F,3:42 PM,0.272,0.272,,"COLBERT, DALE M"
149606,12/18/14,AMES POLICE DEPARTMENT,M,1:38 AM,0.277,0.276,,"BARNEY, JOHN E"
149606,12/17/14,AMES POLICE DEPARTMENT,F,5:01 PM,0,0,,"CHRISTIAN, AMBER L"
149606,12/17/14,AMES PD,F,3:00 AM,0,0,,"HAUGE, RYAN"
100203,12/14/14,ISU - POLICE DIVISION,F,5:27 AM,0.084,0.084,,"MEENAGH, RYAN J"
100203,12/14/14,ISU - POLICE DIVISION,F,3:43 AM,0.047,0.047,,"MEENAGH, RYAN J"
100199,12/14/14,STORY COUNTY SHERIFF'S OFFICE,F,3:40 AM,0.187,0.188,,"BOECKMAN, ANDREW J"
149606,12/13/14,AMES PD,M,11:43 PM,0.157,0.156,,"JUNIOR, VINCENT"
149606,12/13/14,AMES PD,F,5:20 PM,0,0,,"HIPPEN, COLE"
100199,12/13/14,STORY COUNTY SHERIFF'S OFFICE,M,4:13 AM,0.122,0.123,,"SCHMITZ, JAMIE"
100203,12/13/14,ISU - POLICE DIVISION,M,2:42 AM,0.083,0.083,,"MEENAGH, RYAN J"
149606,12/13/14,AMES PD,M,1:37 AM,0.111,0.111,,"HAUGE, RYAN"
100203,12/9/14,ISU - POLICE DIVISION,M,12:41 AM,0,0,,"VARNER, KEITH D"
100203,12/7/14,ISU - POLICE DIVISION,M,3:24 AM,0.078,0.077,,"MEENAGH, RYAN J"
100199,12/7/14,STORY COUNTY SHERIFF'S OFFICE,F,3:04 AM,0.099,0.101,,"GRIMM, JOSHUA A"
100199,12/7/14,STORY COUNTY SHERIFF'S OFFICE,F,2:46 AM,0.104,0.105,,"GRIMM, JOSHUA A"
100203,12/7/14,ISU - POLICE DIVISION,M,2:09 AM,0.16,0.159,,"PETERSON, DAVID R"
